,dataname,description,lines,samples,startlat,startlon,latspace,lonspace,wavelength,gpslatitude,terrainheight,peglat,peglon,peghead,radardirection,time1,time2,phasesign,version,url,unw,geom
0,silver_34715_20011-001_20016-002_0019d_s01_L090HH_01,"Silver City, ID",7662,6855,43.374080760000005,-116.93724312,-5.556e-05,5.556e-05,23.8403545,12495.0184,1281.06047,43.212041105,-116.57432131,-12.975212754,Left,21-Feb-2020 01:24:51 UTC,11-Mar-2020 17:16:34 UTC,-1.0,2.3,http://uavsar.jpl.nasa.gov/cgi-bin/product.pl?jobName=silver_34715_20011-001_20016-002_0019d_s01_L090_01,1,"POLYGON ((-116.93260413 43.295049, -116.66115196 43.35394689, -116.57738242 43.02505904, -116.83032539 42.97212277, -116.93260413 43.295049))"
1,SanAnd_23513_09006-008_09091-008_0272d_s01_L090HH_01,"Northern San Andreas Fault, CA",15232,22767,38.80438188,-123.12412692000001,-5.556e-05,5.556e-05,23.8403545,12495.4521,147.723583,38.4131034,-122.746453,-125.460829,Left,18-Feb-2009 22:02:43 UTC,17-Nov-2009 21:43:45 UTC,-1.0,2.0,http://uavsar.jpl.nasa.gov/cgi-bin/product.pl?jobName=SanAnd_23513_09006-008_09091-008_0272d_s01_L090_01,1,"POLYGON ((-122.01052641 38.77491525, -121.8617623 38.60732025, -122.97151966 37.98925412, -123.12267204 38.15671559, -122.01052641 38.77491525))"
2,SanAnd_26522_14004-000_14158-006_0274d_s01_L090HH_02,"San Andreas Fault - LA Basin, CA",8835,48234,34.25796264,-118.41136104,-5.556e-05,5.556e-05,23.8403545,12495.0897,673.061281,34.1532771,-117.113031,-95.7818214,Left,22-Jan-2014 17:17:17 UTC,23-Oct-2014 21:52:18 UTC,-1.0,2.0,http://uavsar.jpl.nasa.gov/cgi-bin/product.pl?jobName=SanAnd_26522_14004-000_14158-006_0274d_s01_L090_02,1,"POLYGON ((-115.75255589 34.21595397, -115.73130591 34.02233612, -118.38261653 33.80135886, -118.41104584 34.00595057, -115.75255589 34.21595397))"
3,peeler_31619_20005-006_20008-003_0007d_s01_L090HH_01,"Peeler Peak, CO",7149,7820,39.17530044,-107.15434944,-5.556e-05,5.556e-05,23.8403545,12494.7654,3529.16132,39.083124671,-106.84418406,-43.945876681,Left,12-Feb-2020 16:40:19 UTC,19-Feb-2020 17:05:23 UTC,-1.0,2.3,http://uavsar.jpl.nasa.gov/cgi-bin/product.pl?jobName=peeler_31619_20005-006_20008-003_0007d_s01_L090_01,1,"POLYGON ((-107.14998013 39.01398658, -106.99672093 39.13752122, -106.73548936 38.93145665, -106.88953342 38.80765811, -107.14998013 39.01398658))"
4,Slumgl_03501_12019-001_12026-001_0016d_s01_L090HH_01,"Slumgullion, CO",7350,7509,38.17183128,-107.44820628000001,-5.556e-05,5.556e-05,23.8403545,12494.4495,3288.51779,37.9190851,-107.084653,34.9531243,Left,23-Apr-2012 18:42:05 UTC,9-May-2012 20:41:50 UTC,-1.0,2.0,http://uavsar.jpl.nasa.gov/cgi-bin/product.pl?jobName=Slumgl_03501_12019-001_12026-001_0016d_s01_L090_01,1,"POLYGON ((-107.23620235 38.14149674, -107.03862249 38.03417734, -107.24709374 37.79521837, -107.44540001 37.90281791, -107.23620235 38.14149674))"
5,faberl_04605_17063-009_17094-009_0087d_s01_L090HH_01,"Faber Lake, Canada",13927,15023,64.50299316000002,-118.30826135,-5.556e-05,0.00011111,23.8403545,12494.7762,251.97373,64.037086233,-117.20316863,45.991245372,Left,14-Jun-2017 20:59:49 UTC,9-Sep-2017 20:25:23 UTC,-1.0,2.2,http://uavsar.jpl.nasa.gov/cgi-bin/product.pl?jobName=faberl_04605_17063-009_17094-009_0087d_s01_L090_01,1,"POLYGON ((-116.96306808 64.47323470000001, -116.64128166 64.33206795, -117.98717744 63.76037444, -118.30929443 63.89867465, -116.96306808 64.47323470000001))"
6,SDelta_05520_18079-006_18085-004_0028d_s01_L090HH_01,"Sacramento-San Joaquin Delta, CA",11296,15845,38.444964240000004,-122.27244768000001,-5.556e-05,5.556e-05,23.8403545,12495.1868,11.4524879,38.028040789,-121.71299331,55.254041157,Left,30-Oct-2018 22:05:55 UTC,27-Nov-2018 19:26:53 UTC,-1.0,2.2,http://uavsar.jpl.nasa.gov/cgi-bin/product.pl?jobName=SDelta_05520_18079-006_18085-004_0028d_s01_L090_01,1,"POLYGON ((-121.54784251 38.41215945, -121.3802945 38.25155838, -122.1161383 37.85509016, -122.27813989 38.01110587, -121.54784251 38.41215945))"
7,jacksn_16203_18065-003_18066-001_0001d_s01_L090HH_01,"Neuse River near Jacksonville, NC",23280,12540,35.801308320000004,-77.86728444,-5.556e-05,5.556e-05,23.8403545,12498.7413,-17.8994501,35.089282444,-77.675521292,162.04171338,Left,18-Sep-2018 15:56:48 UTC,19-Sep-2018 18:55:28 UTC,-1.0,2.2,http://uavsar.jpl.nasa.gov/cgi-bin/product.pl?jobName=jacksn_16203_18065-003_18066-001_0001d_s01_L090_01,1,"POLYGON ((-77.86514178 35.7111437, -77.63203856 35.77426858, -77.17227072 34.5982923, -77.40302532 34.53586974, -77.86514178 35.7111437))"
8,SanAnd_26512_12083-011_13095-015_0240d_s01_L090HH_01,"San Andreas Fault - Salton Trough, CA",8359,42556,33.45367608,-117.32344068,-5.556e-05,5.556e-05,23.8403545,12494.7521,340.956545,33.3640879,-116.190469,-95.6821697,Left,26-Sep-2012 04:59:57 UTC,24-May-2013 03:19:19 UTC,-1.0,2.0,http://uavsar.jpl.nasa.gov/cgi-bin/product.pl?jobName=SanAnd_26512_12083-011_13095-015_0240d_s01_L090_01,1,"POLYGON ((-117.32202291 33.22594269, -114.97993097 33.41614945, -114.9593353 33.21637931, -117.29597208 33.02337802, -117.32202291 33.22594269))"
9,SanAnd_05518_10058-009_17021-003_2430d_s01_L090HH_01,"San Andreas Fault - North, CA",18779,30003,39.39270672,-123.40759404,-5.556e-05,5.556e-05,23.8403545,12495.4921,218.458252,38.757018911,-122.46358992,55.477989091,Left,8-Jul-2010 21:12:39 UTC,3-Mar-2017 22:29:41 UTC,-1.0,2.0,http://uavsar.jpl.nasa.gov/cgi-bin/product.pl?jobName=SanAnd_05518_10058-009_17021-003_2430d_s01_L090_01,1,"POLYGON ((-121.8895501 39.35919088, -121.73750381 39.19728994, -123.25330812 38.38008756, -123.40731342 38.54033973, -121.8895501 39.35919088))"
10,SanAnd_08515_09015-000_09083-003_0179d_s01_L090HH_01,"San Andreas Fault - Salton Trough, CA",7389,41753,33.68119428,-117.61229712000001,-5.556e-05,5.556e-05,23.8403545,12496.2946,514.915649,33.3339151,-116.454719,85.6974462,Left,24-Apr-2009 19:12:21 UTC,20-Oct-2009 22:28:44 UTC,-1.0,2.0,http://uavsar.jpl.nasa.gov/cgi-bin/product.pl?jobName=SanAnd_08515_09015-000_09083-003_0179d_s01_L090_01,1,"POLYGON ((-117.61582894 33.50182874, -115.31273243 33.64792381, -115.29059742 33.4591998, -117.58574372 33.30128362, -117.61582894 33.50182874))"
11,SanAnd_26530_12021-001_13008-000_0258d_s01_L090HH_01,"San Andreas Fault - LA Basin, CA",10385,64602,34.89940284,-119.79463836000001,-5.556e-05,5.556e-05,23.8403545,12495.285,885.175879,34.7594303,-118.06151,-96.0646336,Left,27-Apr-2012 16:39:01 UTC,10-Jan-2013 20:31:21 UTC,-1.0,2.0,http://uavsar.jpl.nasa.gov/cgi-bin/product.pl?jobName=SanAnd_26530_12021-001_13008-000_0258d_s01_L090_01,1,"POLYGON ((-116.22757408 34.86712719, -116.20454874 34.66450697, -119.7634505 34.35733188, -119.79439654 34.55751412, -116.22757408 34.86712719))"
12,Ncarag_12201_13034-002_15018-002_0734d_s01_L090HH_01,Nicaragua Volcanoes,11990,14901,12.91064388,-87.22025484000001,-5.556e-05,5.556e-05,23.8403545,12495.5916,186.834195,12.444144,-86.8582043,121.642285,Left,8-Mar-2013 02:08:09 UTC,12-Mar-2015 04:13:49 UTC,-1.0,2.0,http://uavsar.jpl.nasa.gov/cgi-bin/product.pl?jobName=Ncarag_12201_13034-002_15018-002_0734d_s01_L090_01,1,"POLYGON ((-87.22523446 12.71010561, -87.10824295 12.88026623, -86.39085783 12.44598048, -86.50656678999999 12.27753054, -87.22523446 12.71010561))"
13,ChiVol_02303_14054-005_15031-003_0337d_s01_L090HH_01,"Cordon del Azufre Volcano, Chile/Argentina",17423,10774,-24.902214240000003,-68.83984008,-5.556e-05,5.556e-05,23.8403545,12494.6284,4561.02815,-25.429217698,-68.413108686,23.524552723,Left,29-Apr-2014 17:45:09 UTC,1-Apr-2015 16:10:35 UTC,-1.0,2.0,http://uavsar.jpl.nasa.gov/cgi-bin/product.pl?jobName=ChiVol_02303_14054-005_15031-003_0337d_s01_L090_01,1,"POLYGON ((-68.43950289 -24.93740229, -68.25015868 -24.99652082, -68.63646025 -25.83047735, -68.83647271 -25.77054141, -68.43950289 -24.93740229))"
14,Haywrd_15302_10031-003_12020-011_0733d_s01_L090HH_01,"Hayward Fault, CA",27103,19757,38.16405288,-122.43407172,-5.556e-05,5.556e-05,23.8403545,12495.7842,103.781705,37.3337889,-122.036276,152.885281,Left,23-Apr-2010 17:21:45 UTC,25-Apr-2012 00:40:45 UTC,-1.0,2.0,http://uavsar.jpl.nasa.gov/cgi-bin/product.pl?jobName=Haywrd_15302_10031-003_12020-011_0733d_s01_L090_01,0,"POLYGON ((-122.43566919 38.04621108, -122.20541876 38.13242221, -121.33904944 36.77522875, -121.56478698 36.69104098, -122.43566919 38.04621108))"
15,Slumgl_12502_12026-003_12028-006_0008d_s01_L090HH_01,"Slumgullion, CO",6892,7972,38.1708312,-107.49737688,-5.556e-05,5.556e-05,23.8403545,12494.2614,3364.6596,37.8613947,-107.336031,124.93524,Left,9-May-2012 21:10:08 UTC,17-May-2012 18:35:45 UTC,-1.0,2.0,http://uavsar.jpl.nasa.gov/cgi-bin/product.pl?jobName=Slumgl_12502_12026-003_12028-006_0008d_s01_L090_01,1,"POLYGON ((-107.48457954 37.99479042, -107.35862853 38.14160829, -107.05727433 37.97554279, -107.18777628 37.82363735, -107.48457954 37.99479042))"
16,SanAnd_08521_12027-004_13102-006_0381d_s01_L090HH_01,"San Andreas Fault - LA Basin, CA",7777,48172,34.16062152,-118.41963948,-5.556e-05,5.556e-05,23.8403545,12495.8201,474.289581,33.8033597,-117.057212,85.7693066,Left,15-May-2012 23:02:00 UTC,31-May-2013 00:31:37 UTC,-1.0,2.0,http://uavsar.jpl.nasa.gov/cgi-bin/product.pl?jobName=SanAnd_08521_12027-004_13102-006_0381d_s01_L090_01,1,"POLYGON ((-118.42102926 33.95744909, -115.76108203 34.12349472, -115.74188075 33.93146971, -118.3951017 33.76082081, -118.42102926 33.95744909))"
17,GalVol_07103_13039-001_15023-005_0734d_s01_L090HH_01,"Galapagos Islands, Ecuador",10176,17255,-0.57132348,-91.63994172000001,-5.556e-05,5.556e-05,23.8403545,12494.932,151.732936,-0.988987785,-91.1035812,70.5657796,Left,14-Mar-2013 15:55:29 UTC,18-Mar-2015 18:17:04 UTC,-1.0,2.0,http://uavsar.jpl.nasa.gov/cgi-bin/product.pl?jobName=GalVol_07103_13039-001_15023-005_0734d_s01_L090_01,1,"POLYGON ((-90.74888023 -0.60237811, -90.68170829 -0.79148283, -91.57248662000001 -1.10795715, -91.63964154 -0.91874583, -90.74888023 -0.60237811))"
18,gulfco_32010_10010-001_12053-009_0888d_s01_L090HH_01,"Gulf Coast, LA",23710,22933,30.17135796,-90.00253296000001,-5.556e-05,5.556e-05,23.8403545,12494.746,-24.8266898,29.614969,-89.2438733,-40.272595,Left,26-Jan-2010 15:27:20 UTC,2-Jul-2012 19:03:56 UTC,-1.0,2.0,http://uavsar.jpl.nasa.gov/cgi-bin/product.pl?jobName=gulfco_32010_10010-001_12053-009_0888d_s01_L090_01,1,"POLYGON ((-89.99831061 30.00878129, -89.82983227 30.14675295, -88.73291648999999 29.01578612, -88.90096991999999 28.87923088, -89.99831061 30.00878129))"
19,LAmrsh_22202_10054-002_11044-005_0372d_s01_L090HH_01,"Louisiana Marsh - Mississippi Delta, LA",30284,31069,30.39898728,-90.75792672,-5.556e-05,5.556e-05,23.8403545,12496.1593,-22.861759,29.6529516,-90.0271897,-137.699816,Left,23-Jun-2010 22:53:44 UTC,30-Jun-2011 00:23:29 UTC,-1.0,2.0,http://uavsar.jpl.nasa.gov/cgi-bin/product.pl?jobName=LAmrsh_22202_10054-002_11044-005_0372d_s01_L090_01,1,"POLYGON ((-89.2032066 30.3695369, -89.03144734999999 30.23534703, -90.58629075 28.74610757, -90.75776598 28.87844308, -89.2032066 30.3695369))"
20,SanAnd_08517_13102-002_14092-002_0390d_s01_L090HH_01,"San Andreas Fault - LA Basin, CA",7409,41831,33.83787348,-117.84009312,-5.556e-05,5.556e-05,23.8403545,12495.9196,555.096147,33.4883038,-116.687133,85.7164379,Left,30-May-2013 22:32:11 UTC,24-Jun-2014 20:05:50 UTC,-1.0,2.0,http://uavsar.jpl.nasa.gov/cgi-bin/product.pl?jobName=SanAnd_08517_13102-002_14092-002_0390d_s01_L090_01,1,"POLYGON ((-117.84116745 33.65639671, -115.53419957 33.80340158, -115.51544381 33.61121924, -117.81632338 33.45641055, -117.84116745 33.65639671))"
21,Slumgl_12502_12067-003_13159-002_0450d_s01_L090HH_01,"Slumgullion, CO",6832,7921,38.1708312,-107.49437664000001,-5.556e-05,5.556e-05,23.8403545,12494.8278,3364.68651,37.861172,-107.33564,124.93661,Left,1-Aug-2012 20:14:41 UTC,25-Oct-2013 18:08:15 UTC,-1.0,2.0,http://uavsar.jpl.nasa.gov/cgi-bin/product.pl?jobName=Slumgl_12502_12067-003_13159-002_0450d_s01_L090_01,1,"POLYGON ((-107.48602963 37.99669352, -107.35719176 38.14089264, -107.05570455 37.97459735, -107.18819433 37.82738184, -107.48602963 37.99669352))"
22,lowman_05208_21015-009_21017-019_0007d_s01_L090HH_01,"Lowman, CO",16299,24929,44.476835640000004,-116.29452504000001,-5.556e-05,5.556e-05,23.8403545,12494.8141,1781.09142,43.926499161,-115.46472929,51.80925797,Left,3-Mar-2021 18:37:00 UTC,10-Mar-2021 18:11:33 UTC,-1.0,2.3,http://uavsar.jpl.nasa.gov/cgi-bin/product.pl?jobName=lowman_05208_21015-009_21017-019_0007d_s01_L090_01,1,"POLYGON ((-115.08452849 44.44661883, -114.92748712 44.30277852, -116.11814393 43.60106414, -116.28853562 43.75436253, -115.08452849 44.44661883))"
23,stlake_27129_21020-024_21022-001_0006d_s01_L090HH_01,"Salt Lake City, UT",4867,8891,40.75203768,-111.89361744,-5.556e-05,5.556e-05,23.8403545,12496.126,2003.15208,40.747742975,-111.66297869,-88.915648686,Left,16-Mar-2021 20:42:31 UTC,22-Mar-2021 19:39:58 UTC,-1.0,2.3,http://uavsar.jpl.nasa.gov/cgi-bin/product.pl?jobName=stlake_27129_21020-024_21022-001_0006d_s01_L090_01,1,"POLYGON ((-111.89077298 40.72316621, -111.40142641 40.69367998, -111.40368279 40.51576385, -111.89233489 40.52437728, -111.89077298 40.72316621))"
24,lumber_31509_18067-004_18068-004_0002d_s01_L090HH_01,"Lumberton, NC",17741,20228,35.02713528,-79.46652348,-5.556e-05,5.556e-05,23.8403545,12519.2531,7.84674067,34.645032044,-78.788556783,-44.933235409,Left,20-Sep-2018 18:53:38 UTC,22-Sep-2018 16:54:46 UTC,-1.0,2.2,http://uavsar.jpl.nasa.gov/cgi-bin/product.pl?jobName=lumber_31509_18067-004_18068-004_0002d_s01_L090_01,1,"POLYGON ((-79.46513906 34.85522058, -79.29494063999999 34.99700734, -78.34325376 34.21125358, -78.51478849999999 34.06974008, -79.46513906 34.85522058))"
25,SanAnd_08529_09082-001_10085-001_0416d_s01_L090HH_01,"San Andreas Fault - LA Basin, CA",8139,57446,34.78839396,-119.49894804,-5.556e-05,5.556e-05,23.8403545,12496.2385,790.064584,34.4258353,-117.870017,85.9248162,Left,16-Oct-2009 16:20:47 UTC,6-Dec-2010 23:11:25 UTC,-1.0,2.0,http://uavsar.jpl.nasa.gov/cgi-bin/product.pl?jobName=SanAnd_08529_09082-001_10085-001_0416d_s01_L090_01,1,"POLYGON ((-116.32234903 34.75533148, -116.30845909 34.57186258, -119.47697472 34.36449215, -119.50014868 34.56954649, -116.32234903 34.75533148))"
26,SanAnd_26524_09014-007_10029-004_0357d_s01_L090HH_01,"San Andreas Fault - LA Basin, CA",9709,56295,34.40675232,-119.14203060000001,-5.556e-05,5.556e-05,23.8403545,12495.3009,840.010486,34.283258,-117.616949,-95.907973,Left,23-Apr-2009 20:40:32 UTC,15-Apr-2010 19:14:00 UTC,-1.0,2.0,http://uavsar.jpl.nasa.gov/cgi-bin/product.pl?jobName=SanAnd_26524_09014-007_10029-004_0357d_s01_L090_01,1,"POLYGON ((-116.03376813 34.356298, -116.01564589 34.17097864, -119.11307706 33.90788861, -119.13878965 34.11227549, -116.03376813 34.356298))"
27,CostaR_30002_14059-001_15020-006_0313d_s01_L090HH_01,Costa Rica Volcanoes,8352,9037,10.194037680000001,-84.07289196,-5.556e-05,5.556e-05,23.8403545,12495.4547,1395.15765,10.5166758,-84.4929612,-59.6741337,Left,5-May-2014 16:02:09 UTC,14-Mar-2015 13:57:08 UTC,-1.0,2.0,http://uavsar.jpl.nasa.gov/cgi-bin/product.pl?jobName=CostaR_30002_14059-001_15020-006_0313d_s01_L090_01,1,"POLYGON ((-84.06950768999999 9.990918710000001, -83.97426254 10.15922833, -83.57718753 9.927745270000001, -83.67265043 9.759338420000001, -84.06950768999999 9.990918710000001))"
28,SanAnd_23511_14068-001_16034-004_0666d_s01_L090HH_01,"San Andreas Fault - North, CA",12543,18084,38.75104428,-122.57180496000001,-5.556e-05,5.556e-05,23.8403545,12495.1215,95.8769195,38.5208565,-122.178174,-125.271628,Left,29-May-2014 18:52:06 UTC,25-Mar-2016 18:32:26 UTC,-1.0,2.0,http://uavsar.jpl.nasa.gov/cgi-bin/product.pl?jobName=SanAnd_23511_14068-001_16034-004_0666d_s01_L090_01,1,"POLYGON ((-121.7118731 38.72416646, -121.56954514 38.55758338, -122.42482647 38.08300869, -122.56722786 38.24733754, -121.7118731 38.72416646))"
29,bonanE_03604_17100-005_18051-006_0342d_s01_L090HH_01,Bonanza Creek LTER,20581,18195,65.55457728000002,-148.52551473,-5.556e-05,0.00011111,23.8403545,12494.9318,406.783417,64.922901852,-147.22089333,35.657562727,Left,19-Sep-2017 22:32:51 UTC,27-Aug-2018 21:30:52 UTC,-1.0,2.3,http://uavsar.jpl.nasa.gov/cgi-bin/product.pl?jobName=bonanE_03604_17100-005_18051-006_0342d_s01_L090_01,1,"POLYGON ((-146.90552673 65.52371386999999, -146.54270067 65.41861054, -148.13251346 64.44250605000001, -148.52068308 64.55183069, -146.90552673 65.52371386999999))"
30,BigIsl_32903_16084-007_16084-009_0000d_s01_L090HH_01,"Big Island, HI",16406,12024,20.03182464,-155.98047744000002,-5.556e-05,5.556e-05,23.8403545,12495.1443,1453.68648,19.618440911,-155.49184497,-30.96001203,Left,8-Oct-2016 09:30:13 UTC,8-Oct-2016 10:08:12 UTC,1.0,2.0,http://uavsar.jpl.nasa.gov/cgi-bin/product.pl?jobName=BigIsl_32903_16084-007_16084-009_0000d_s01_L090_01,1,"POLYGON ((-155.96658847 19.8949296, -155.79417758 20.00797614, -155.31689097 19.2686327, -155.49434925 19.15088301, -155.96658847 19.8949296))"
31,gulfco_32017_12115-004_14036-001_0530d_s01_L090HH_01,"Gulf Coast, LA",28763,27876,30.26097624,-90.57846792000001,-5.556e-05,5.556e-05,23.8403545,12495.1322,-24.8201608,29.5612109,-89.6772919,-40.33579,Left,26-Oct-2012 17:19:44 UTC,9-Apr-2014 17:30:50 UTC,-1.0,2.0,http://uavsar.jpl.nasa.gov/cgi-bin/product.pl?jobName=gulfco_32017_12115-004_14036-001_0530d_s01_L090_01,1,"POLYGON ((-90.57427198000001 30.09817194, -90.40600591 30.23644399, -89.03410334 28.82458756, -89.20186894 28.68806741, -90.57427198000001 30.09817194))"
32,gulfco_14011_13053-007_13134-000_0112d_s01_L090HH_01,"Gulf Coast, LA",27890,26476,30.348705480000003,-90.40467624,-5.556e-05,5.556e-05,23.8403545,12496.0452,-25.1133061,29.4816181,-89.7908957,140.325009,Left,3-Apr-2013 18:15:13 UTC,24-Jul-2013 16:25:07 UTC,-1.0,2.0,http://uavsar.jpl.nasa.gov/cgi-bin/product.pl?jobName=gulfco_14011_13053-007_13134-000_0112d_s01_L090_01,1,"POLYGON ((-90.40522889 30.19282101, -90.22584304999999 30.31968419, -88.93412576999999 28.95431045, -89.11264585000001 28.82918361, -90.40522889 30.19282101))"
33,Slumgl_30502_13159-003_13166-004_0007d_s01_L090HH_01,"Slumgullion, CO",6930,8011,38.2241688,-107.47159704,-5.556e-05,5.556e-05,23.8403545,12494.1497,3260.44034,38.151221,-107.193365,-54.9349642,Left,25-Oct-2013 18:20:18 UTC,1-Nov-2013 19:25:38 UTC,-1.0,2.0,http://uavsar.jpl.nasa.gov/cgi-bin/product.pl?jobName=Slumgl_30502_13159-003_13166-004_0007d_s01_L090_01,1,"POLYGON ((-107.4682741 38.03469971, -107.3382581 38.18848887, -107.04190795 38.01511038, -107.16649854 37.86947128, -107.4682741 38.03469971))"
34,SanAnd_23038_09009-005_09084-003_0242d_s01_L090HH_01,"Central San Andreas Fault, CA",15938,20201,35.20453836,-120.03732444,-5.556e-05,5.556e-05,23.8403545,12495.0144,695.524285,34.8517368,-119.621039,-130.307218,Left,26-Feb-2009 02:06:40 UTC,26-Oct-2009 17:00:17 UTC,-1.0,2.0,http://uavsar.jpl.nasa.gov/cgi-bin/product.pl?jobName=SanAnd_23038_09009-005_09084-003_0242d_s01_L090_01,1,"POLYGON ((-119.07467633 35.18121053, -118.92418663 35.01739478, -119.87936525 34.35259374, -120.02680697 34.5091677, -119.07467633 35.18121053))"
35,gulfco_14032_15057-000_15057-004_0000d_s01_L090HH_01,"Gulf Coast, LA",9627,9215,29.721766440000003,-91.70105772000001,-5.556e-05,5.556e-05,23.8403545,12497.1352,-25.9936432,29.3498179,-91.5602617,139.955576,Left,8-May-2015 11:24:13 UTC,8-May-2015 12:19:14 UTC,1.0,2.0,http://uavsar.jpl.nasa.gov/cgi-bin/product.pl?jobName=gulfco_14032_15057-000_15057-004_0000d_s01_L090_01,1,"POLYGON ((-91.70127089 29.56514529, -91.52423831999999 29.69326109, -91.1898917 29.34407005, -91.36673537999999 29.21638887, -91.70127089 29.56514529))"
36,SanAnd_23511_12017-010_12128-001_0201d_s01_L090HH_01,"Northern San Andreas Fault, CA",11695,16565,38.73598752,-122.51468928000001,-5.556e-05,5.556e-05,23.8403545,12494.7136,102.881517,38.5206735,-122.178493,-125.27197,Left,18-Apr-2012 20:06:36 UTC,5-Nov-2012 20:31:44 UTC,-1.0,2.0,http://uavsar.jpl.nasa.gov/cgi-bin/product.pl?jobName=SanAnd_23511_12017-010_12128-001_0201d_s01_L090_01,1,"POLYGON ((-121.73800644 38.7098818, -121.59784374 38.54206341, -122.36874262 38.1144918, -122.50944772 38.28084202, -121.73800644 38.7098818))"
37,AzLand_10500_13162-000_14162-004_0366d_s01_L090HH_01,"Phoenix, Arizona",8670,19275,34.24601724,-112.34031984,-5.556e-05,5.556e-05,23.8403545,12495.4756,972.869254,33.87103,-111.827614,104.614476,Left,28-Oct-2013 17:24:10 UTC,29-Oct-2014 19:25:27 UTC,-1.0,2.0,http://uavsar.jpl.nasa.gov/cgi-bin/product.pl?jobName=AzLand_10500_13162-000_14162-004_0366d_s01_L090_01,1,"POLYGON ((-112.34371908 34.01776755, -112.27495908 34.21549334, -111.26887577 33.99469592, -111.33642333 33.8041794, -112.34371908 34.01776755))"
38,SanAnd_23515_14068-005_15152-008_0504d_s01_L090HH_01,"San Andreas Fault - North, CA",17739,27380,39.178800720000005,-123.05906616,-5.556e-05,5.556e-05,23.8403545,12495.0699,152.745455,38.7947625,-122.431076,-125.467476,Left,29-May-2014 20:16:53 UTC,15-Oct-2015 19:28:23 UTC,-1.0,2.0,http://uavsar.jpl.nasa.gov/cgi-bin/product.pl?jobName=SanAnd_23515_14068-005_15152-008_0504d_s01_L090_01,1,"POLYGON ((-121.6893201 39.14929459, -121.53942447 38.98666783, -122.90751372 38.22499784, -123.05606364 38.3829405, -121.6893201 39.14929459))"
39,SanAnd_08519_13102-004_14004-007_0237d_s01_L090HH_02,"San Andreas Fault - LA Basin, CA",7717,48083,33.98649648,-118.40130468000001,-5.556e-05,5.556e-05,23.8403545,12495.7626,476.505165,33.632934869,-117.03732566,85.765448336,Left,30-May-2013 23:31:46 UTC,22-Jan-2014 19:04:50 UTC,-1.0,2.2,http://uavsar.jpl.nasa.gov/cgi-bin/product.pl?jobName=SanAnd_08519_13102-004_14004-007_0237d_s01_L090_02,1,"POLYGON ((-118.40252607 33.78789469, -115.74690639 33.95327753, -115.73062403 33.77015178, -118.37830363 33.58670705, -118.40252607 33.78789469))"
40,ylwstn_08902_09053-100_14110-002_1838d_s01_L090HH_01,"Yellowstone National Park, WY",4734,23857,44.680963080000005,-111.28979136000001,-5.556e-05,5.556e-05,23.8403545,12496.1954,2440.87834,44.4153272,-110.603282,89.5083472,Left,31-Jul-2009 19:40:57 UTC,12-Aug-2014 20:30:25 UTC,-1.0,2.0,http://uavsar.jpl.nasa.gov/cgi-bin/product.pl?jobName=ylwstn_08902_09053-100_14110-002_1838d_s01_L090_01,1,"POLYGON ((-111.29131224 44.64182136, -109.96639927 44.65164701, -109.96362939 44.46990268, -111.28386425 44.44713987, -111.29131224 44.64182136))"
41,SanAnd_26528_14158-000_16002-006_0476d_s01_L090HH_01,"San Andreas Fault - LA Basin, CA",10522,64453,34.733667360000005,-119.77341444000001,-5.556e-05,5.556e-05,23.8403545,12495.1757,690.816664,34.5890424,-118.042797,-96.0575167,Left,23-Oct-2014 18:50:36 UTC,11-Feb-2016 03:51:57 UTC,-1.0,2.0,http://uavsar.jpl.nasa.gov/cgi-bin/product.pl?jobName=SanAnd_26528_14158-000_16002-006_0476d_s01_L090_01,1,"POLYGON ((-116.21333784 34.68561009, -116.19237871 34.4932612, -119.74205598 34.18716097, -119.77242481 34.39408565, -116.21333784 34.68561009))"
